Symbol,Name,Sector,"Clearing 
Type",Shares,Free Float,Listed In
BERG,Berger Paints Pakistan Limited,CHEMICAL,NC,"24,551,652","9,820,646",ALLSHRKMIALLSHR
BFBIO,BF Biosciences Limited,PHARMACEUTICALS,NC,"88,333,334","26,500,000",ALLSHR
BFMOD,B.F. Modaraba,MODARABAS,NC,"7,515,158","2,254,547",ALLSHRKMIALLSHR
BGL,Baluchistan Glass Limited,GLASS & CERAMICS,NC,"261,600,000","39,240,000",ALLSHRKMIALLSHR
BHAT,Bhanero Textile Mills Limited,TEXTILE COMPOSITE,NC,"3,040,964","152,048",ALLSHR
BIFO,Biafo Industries Limited,CHEMICAL,NC,"46,382,688","13,914,806",ALLSHRKMIALLSHR
BILF,Bilal Fibres Limited,TEXTILE SPINNING,NC,"14,100,000","11,925,865",ALLSHR
BIPL,BankIslami Pakistan Limited,COMMERCIAL BANKS,NC,"1,108,703,299","166,305,495",ALLSHRKMIALLSHRPSXDIV20
BML,Bank Makramah Limited,COMMERCIAL BANKS,NC,"6,622,220,576","993,333,086",ALLSHRKMIALLSHR
BNL,Bunnys Limited,FOOD & PERSONAL CARE PRODUCTS,NC,"66,805,269","33,402,635",ALLSHRKMIALLSHR
BNWM,Bannu Woollen Mills Limited,WOOLLEN,NC,"9,506,250","4,753,125",ALLSHRKMIALLSHRKSE100
BOK,The Bank of Khyber,COMMERCIAL BANKS,NC,"1,158,054,673","57,902,734",ALLSHR
BOP,The Bank of Punjab,COMMERCIAL BANKS,NC,"3,271,569,319","1,381,780,202",ALLSHRKSE100
BPL,Burshane LPG (Pakistan) Limited,OIL & GAS MARKETING COMPANIES,NC,"22,488,900","6,746,667",ALLSHRKMIALLSHR
BRRG,B.R.R Guardian Limited,PROPERTY,NC,"95,008,489","47,504,245",ALLSHRKMIALLSHR
BTL,Blessed Textiles Limited,TEXTILE COMPOSITE,NC,"6,432,000","964,800",ALLSHRKMIALLSHR
BUXL,Buxly Paints Limited,CHEMICAL,NC,"1,440,000","576,000",ALLSHRKMIALLSHR
BWCL,Bestway Cement Limited,CEMENT,NC,"596,252,783","29,812,639",ALLSHRKMIALLSHRKSE100
BWHL,Baluchistan Wheels Limited,AUTOMOBILE PARTS & ACCESSORIES,NC,"13,334,250","7,333,838",ALLSHRKMIALLSHR
CASH,Calcorp Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"10,744,413","1,611,662",ALLSHR
CCM,Crescent Cotton Mills Limited,TEXTILE SPINNING,NC,"22,660,123","10,197,057",ALLSHRKMIALLSHR
CENI,Century Insurance Company Limited,INSURANCE,NC,"55,326,483","13,831,621",ALLSHR
CEPB,Century Paper & Board Mills Limited,"PAPER, BOARD & PACKAGING",NC,"401,712,926","140,599,524",ALLSHRKMIALLSHR
CFL,Crescent Fibres Limited,TEXTILE SPINNING,NC,"12,417,876","3,725,363",ALLSHR
CHAS,Chashma Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,NC,"28,692,000","4,303,800",ALLSHRKMIALLSHR
CHCC,Cherat Cement Company Limited,CEMENT,NC,"194,295,038","116,577,023",ACIALLSHRKMI30KMIALLSHRKSE100MII30
CLCPS,Chenab Limited (Pref),TEXTILE COMPOSITE,NC,"80,000,000","78,285,961",ALLSHR
CLOV,Clover Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,NC,"31,143,059","17,128,682",ALLSHRKMIALLSHR
CLVL,Cordoba Logistics & Ventures Limited,TRANSPORT,NC,"72,105,200","14,421,040",ALLSHR
CNERGY,Cnergyico PK Limited,REFINERY,NC,"5,493,447,571","1,648,034,271",ALLSHRKMIALLSHRKSE100
COLG,Colgate-Palmolive (Pakistan) Limited,FOOD & PERSONAL CARE PRODUCTS,NC,"242,773,288","24,277,327",ALLSHRKSE100
CPHL,Citi Pharma Ltd.,PHARMACEUTICALS,NC,"228,461,200","79,961,420",ALLSHRKMIALLSHR
CPPL,Cherat Packaging Limited,"PAPER, BOARD & PACKAGING",NC,"49,095,396","29,457,236",ALLSHRKMIALLSHR
CRTM,The Crescent Textile Mills Limited,TEXTILE COMPOSITE,NC,"100,000,000","60,000,000",ALLSHRKMIALLSHR
CSAP,Crescent Steel & Allied Products Limited,ENGINEERING,NC,"77,632,491","34,934,621",ALLSHR
CSIL,Crescent Star Insurance Limited,INSURANCE,NC,"107,695,041","106,198,638",ALLSHR
CTM,Colony Textile Mills Limited,TEXTILE SPINNING,NC,"498,010,000","49,800,996",ALLSHRKMIALLSHR
CYAN,Cyan Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"61,558,963","12,311,822",ALLSHR
DAAG,Data Agro Limited,CHEMICAL,NC,"4,000,000","800,000",ALLSHRKMIALLSHR
DADX,Dadex Eternit Limited,ENGINEERING,NC,"10,764,000","538,200",ALLSHRKMIALLSHR
DAWH,Dawood Hercules Corporation Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"481,287,116","336,900,981",ALLSHRKSE100
DCL,Dewan Cement Limited,CEMENT,NC,"484,113,343","121,028,336",ALLSHRKMIALLSHR
DCR,Dolmen City REIT,REAL ESTATE INVESTMENT TRUST,NC,"2,223,700,000","555,925,000",ALLSHRKMI30KMIALLSHRKSE100
DEL,Dawood Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"27,500,000","12,375,000",ALLSHR
DFML,Dewan Farooque Motors Limited,AUTOMOBILE ASSEMBLER,NC,"138,735,242","55,494,097",ALLSHR
DFSM,Dewan Farooque Spinning Mills Limited,TEXTILE SPINNING,NC,"97,750,726","34,212,754",ALLSHRKMIALLSHR
DGKC,D.G. Khan Cement Company Limited,CEMENT,NC,"438,119,097","219,059,559",ACIALLSHRKMI30KMIALLSHRKSE100KSE30MII30MZNPI
DIIL,Diamond Industries Limited,MISCELLANEOUS,NC,"9,000,000","1,350,000",ALLSHRKMIALLSHR
DINT,Din Textile Mills Limited,TEXTILE SPINNING,NC,"52,466,750","7,870,012",ALLSHRKMIALLSHR
DLL,Dawood Lawrencepur Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"59,299,809","5,929,981",ALLSHR
DNCC,Dandot Cement Company Limited,CEMENT,NC,"316,355,132","94,906,540",ALLSHR
DOL,Descon Oxychem Limited,CHEMICAL,NC,"175,031,084","52,509,325",ALLSHRKMIALLSHRPSXDIV20
DSIL,D.S. Industries Limited,TEXTILE SPINNING,NC,"83,685,631","66,948,505",ALLSHR
DSML,Dar-es-Salaam Textile Mills Limited,TEXTILE SPINNING,NC,"224,500,000","11,225,000",ALLSHR
DYNO,Dynea Pakistan Limited,CHEMICAL,NC,"18,872,400","12,267,068",ALLSHRKMIALLSHR
ECOP,Ecopack Limited,MISCELLANEOUS,NC,"48,258,419","38,606,734",ALLSHR
EFERT,Engro Fertilizers Limited,FERTILIZER,NC,"1,335,299,375","600,884,719",ALLSHRKMI30KMIALLSHRKSE100KSE30MII30MZNPINBPPGINITPGIPSXDIV20UPP9
EFGH,EFG Hermes Pakistan Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"20,015,650","9,007,043",ALLSHR
EFUG,EFU General Insurance Limited,INSURANCE,NC,"200,000,000","50,000,000",ALLSHRKSE100
EFUL,EFU Life Assurance Limited,INSURANCE,NC,"105,000,000","10,500,000",ALLSHR
ELCM,Elahi Cotton Mills Limited,TEXTILE SPINNING,NC,"1,300,000","260,000",ALLSHRKMIALLSHR
ELSM,Ellcot Spinning Mills Limited,TEXTILE SPINNING,NC,"10,950,000","3,285,000",ALLSHR
EMCO,Emco Industries Limited,CABLE & ELECTRICAL GOODS,NC,"34,999,667","10,500,000",ALLSHRKMIALLSHR
ENGRO,Engro Corporation Limited,FERTILIZER,NC,"536,626,468","268,313,234",ALLSHRKMI30KMIALLSHRKSE100KSE30MII30MZNPINBPPGINITPGIPSXDIV20UPP9
EPCL,Engro Polymer & Chemicals Limited,CHEMICAL,NC,"908,923,333","227,230,833",ALLSHRKMI30KMIALLSHRKSE100PSXDIV20
EPCLPS,Engro Poly(Pref),CHEMICAL,NC,"300,000,000","300,000,000",ALLSHR
EPQL,Engro Powergen Qadirpur Limited,POWER GENERATION & DISTRIBUTION,NC,"323,800,000","97,140,000",ALLSHR
ESBL,Escorts Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"135,600,000","20,340,000",ALLSHR
EWIC,East West Insurance Company Limited,INSURANCE,NC,"222,502,606","60,682,529",ALLSHR
EXIDE,Exide Pakistan Limited,AUTOMOBILE PARTS & ACCESSORIES,NC,"7,768,618","1,942,155",ALLSHRKMIALLSHR
FABL,Faysal Bank Limited,COMMERCIAL BANKS,NC,"1,517,696,526","379,424,131",ALLSHRKMI30KMIALLSHRKSE100MII30PSXDIV20
FANM,First Al-Noor Modaraba,MODARABAS,NC,"23,100,000","12,705,000",ALLSHRKMIALLSHR
FASM,Faisal Spinning Mills Limited,TEXTILE COMPOSITE,NC,"10,000,000","1,000,000",ALLSHRKMIALLSHR
FATIMA,Fatima Fertilizer Company Limited,FERTILIZER,NC,"2,100,000,000","315,000,000",ALLSHRKMIALLSHRKSE100MII30
FCCL,Fauji Cement Company Limited,CEMENT,NC,"2,452,847,220","858,496,527",ACIALLSHRJSMFIKMI30KMIALLSHRKSE100KSE30MII30
FCEPL,Frieslandcampina Engro Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,NC,"766,596,075","76,659,608",ALLSHRJSMFIKMIALLSHRKSE100
FCIBL,First Credit and Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"65,000,000","26,000,000",ALLSHR
FCL,Fast Cables Limited,CABLE & ELECTRICAL GOODS,NC,"628,854,000","157,213,500",ALLSHRKMIALLSHR
FCONM,First Constellation Modaraba,MODARABAS,NC,"6,462,500","2,261,875",ALLSHR
FCSC,First Capital Securities Corporation,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"316,610,115","174,135,562",ALLSHR
FDPL,First Dawood Properties Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"148,390,023","133,551,021",ALLSHR
FECM,First Elite Capital Modaraba,MODARABAS,NC,"11,340,000","7,938,000",ALLSHRKMIALLSHR
FECTC,Fecto Cement Limited,CEMENT,NC,"50,160,000","12,540,000",ALLSHRKMIALLSHR
FEM,First Equity Modaraba,MODARABAS,NC,"52,440,000","36,708,000",ALLSHRKMIALLSHR
FEROZ,Ferozsons Laboratories Limited,PHARMACEUTICALS,NC,"43,469,051","17,387,621",ALLSHRKMIALLSHR
FFBL,Fauji Fertilizer Bin Qasim Limited,FERTILIZER,NC,"1,291,252,857","451,938,500",ALLSHRJSMFIKMIALLSHRKSE100KSE30MII30
FFC,Fauji Fertilizer Company Limited,FERTILIZER,NC,"1,272,238,147","699,731,036",ALLSHRJSMFIKSE100KSE30NBPPGINITPGIPSXDIV20UPP9
FFL,Fauji Foods Limited,FOOD & PERSONAL CARE PRODUCTS,NC,"2,519,963,139","503,992,628",ALLSHRKMIALLSHR
FFLM,First Fidelity Leasing Modaraba,MODARABAS,NC,"26,413,804","17,168,973",ALLSHRKMIALLSHR
FHAM,First Habib Modaraba,MODARABAS,NC,"110,830,500","99,747,450",ALLSHRKMIALLSHRKSE100
FIBLM,First IBL Modaraba,MODARABAS,NC,"21,687,500","16,265,625",ALLSHRKMIALLSHR
FIMM,First Imrooz Modaraba,MODARABAS,NC,"3,000,000","600,000",ALLSHRKMIALLSHR
FLYNG,Flying Cement Company Limited,CEMENT,NC,"694,800,000","277,920,000",ALLSHRKMIALLSHR
FML,Feroze1888 Mills Limited,TEXTILE COMPOSITE,NC,"399,409,026","39,940,903",ALLSHRKMIALLSHR
FNEL,First National Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"267,286,331","187,100,432",ALLSHR
FPJM,First Punjab Modaraba,MODARABAS,NC,"34,020,000","13,608,000",ALLSHRKMIALLSHR
FPRM,First Paramount Modaraba,MODARABAS,NC,"13,788,418","6,204,787",ALLSHRKMIALLSHR
FRCL,Frontier Ceramics Limited,GLASS & CERAMICS,NC,"37,873,821","1,893,691",ALLSHRKMIALLSHR
FRSM,Faran Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,NC,"25,007,151","6,251,739",ALLSHRKMIALLSHR
FTMM,First Treet Manufacturing Modaraba,MODARABAS,NC,"883,590,287","44,179,514",ALLSHRKMIALLSHR
FTSM,First Tri-Star Modaraba,MODARABAS,NC,"21,163,104","8,465,242",ALLSHRKMIALLSHR
FZCM,Fazal Cloth Mills Limited,TEXTILE COMPOSITE,NC,"30,000,000","3,000,000",ALLSHR
GADT,Gadoon Textile Mills Limited,TEXTILE SPINNING,NC,"28,029,583","8,408,875",ALLSHR
GAL,Ghandhara Automobiles Limited,AUTOMOBILE ASSEMBLER,NC,"57,002,500","22,801,000",ALLSHRKMIALLSHR
GAMON,Gammon Pakistan Limited,MISCELLANEOUS,NC,"28,266,231","3,648,076",ALLSHRKMIALLSHR
GATI,Gatron (Industries) Limited,SYNTHETIC & RAYON,NC,"108,728,960","10,872,896",ALLSHRKMIALLSHR
GATM,Gul Ahmed Textile Mills Limited,TEXTILE COMPOSITE,NC,"740,059,458","185,014,865",ACIALLSHR
GCIL,Ghani Chemical Industries Limited,CHEMICAL,NC,"500,187,971","125,046,993",ALLSHR
GFIL,Ghazi Fabrics International Limited,TEXTILE COMPOSITE,NC,"32,635,600","3,263,560",ALLSHRKMIALLSHR
GGGL,Ghani Global Glass Limited,GLASS & CERAMICS,NC,"240,000,000","120,000,000",ALLSHRKMIALLSHR
GGL,Ghani Global Holdings Limited,CHEMICAL,NC,"354,119,590","177,059,795",ALLSHRKMIALLSHR
GHGL,Ghani Glass Limited,GLASS & CERAMICS,NC,"999,714,838","349,900,193",ALLSHRKMIALLSHRKSE100
GHNI,Ghandhara Industries Limited,AUTOMOBILE ASSEMBLER,NC,"42,608,844","14,913,095",ALLSHRKMIALLSHR
GIL,Good Luck Industries Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"300,000",116,ALLSHRKMIALLSHR
GLAXO,GlaxoSmithKline Pakistan Limited,PHARMACEUTICALS,NC,"318,467,278","63,693,456",ACIALLSHRKMIALLSHRKSE100
GLPL,Gillette Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,NC,"31,872,000","3,187,200",ALLSHR
GOC,GOC (Pak) Limited.,MISCELLANEOUS,NC,"7,348,950","1,102,401",ALLSHRKMIALLSHR
GRR,Globe Residency REIT,REAL ESTATE INVESTMENT TRUST,NC,"140,000,000","42,000,000",ALLSHR
GRYL,Grays Leasing Limited,LEASING COMPANIES,NC,"21,500,000","2,150,000",ALLSHR
GTYR,Ghandhara Tyre & Rubber Company Limited,AUTOMOBILE PARTS & ACCESSORIES,NC,"121,933,350","48,773,340",ALLSHRKMIALLSHR
GVGL,Ghani Value Glass Limited,GLASS & CERAMICS,NC,"149,942,178","29,376,188",ALLSHRKMIALLSHR
GWLC,Gharibwal Cement Limited,CEMENT,NC,"400,273,960","40,027,396",ALLSHRKMIALLSHR
HABSM,Habib Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,NC,"135,000,000","40,500,000",ALLSHR
HAEL,Hala Enterprises Limited,TEXTILE COMPOSITE,NC,"12,996,304","1,599,557",ALLSHR
HAFL,Hafiz Limited,TEXTILE COMPOSITE,NC,"1,200,000","40,448",ALLSHRKMIALLSHR
HALEON,Haleon Pakistan Limited,PHARMACEUTICALS,NC,"117,054,508","15,700,898",ALLSHRKMIALLSHR
HBL,Habib Bank Limited,COMMERCIAL BANKS,NC,"1,466,852,508","586,741,003",ALLSHRBKTIJSGBKTIKSE100KSE30NBPPGINITPGIUPP9
HBLTETF,HBL Total Treasury (ETF),EXCHANGE TRADED FUNDS,NC,"5,000,000","50,000,000",
HCAR,Honda Atlas Cars (Pakistan) Limited,AUTOMOBILE ASSEMBLER,NC,"142,800,000","28,560,000",ALLSHRKSE100
HCL,Hallmark Company Limited,TECHNOLOGY & COMMUNICATION,NC,"500,000","50,000",ALLSHR
HGFA,HBL Growth Fund,CLOSE - END MUTUAL FUND,NC,"283,500,000","265,087,501",ALLSHRKSE100
HICL,Habib Insurance Company Limited,INSURANCE,NC,"123,874,755","68,131,115",ALLSHR
HIFA,HBL Investment Fund,CLOSE - END MUTUAL FUND,NC,"284,125,000","241,506,250",ALLSHR
HINO,Hinopak Motors Limited,AUTOMOBILE ASSEMBLER,NC,"24,801,120","2,548,886",ALLSHRKMIALLSHR
HINOON,Highnoon Laboratories Limited,PHARMACEUTICALS,NC,"52,983,368","21,193,345",ALLSHRKMIALLSHRKSE100MII30
HMB,Habib Metropolitan Bank Limited,COMMERCIAL BANKS,NC,"1,047,831,480","471,524,166",ALLSHRKSE100PSXDIV20
HPL,Hoechst Pakistan Limited,PHARMACEUTICALS,NC,"9,644,800","964,476",ALLSHRKMIALLSHR
HRPL,Habib Rice Product Limited.,SUGAR & ALLIED INDUSTRIES,NC,"40,000,000","8,000,000",ALLSHRKMIALLSHR
HTL,Hi-Tech Lubricants Limited,OIL & GAS MARKETING COMPANIES,NC,"139,204,800","34,801,200",ALLSHRKMIALLSHR
HUBC,The Hub Power Company Limited,POWER GENERATION & DISTRIBUTION,NC,"1,297,154,400","972,865,790",ALLSHRKMI30KMIALLSHRKSE100KSE30MII30MZNPINBPPGINITPGIPSXDIV20UPP9
HUMNL,Hum Network Limited,TECHNOLOGY & COMMUNICATION,NC,"1,134,000,000","567,000,000",ALLSHRJSMFI
HUSI,Husein Industries Limited,PROPERTY,NC,"10,625,852","2,656,463",ALLSHR
IBFL,Ibrahim Fibres Limited,SYNTHETIC & RAYON,NC,"310,506,995","15,525,350",ALLSHRKMIALLSHRKSE100
IBLHL,IBL HealthCare Limited,PHARMACEUTICALS,NC,"85,674,767","21,418,691",ALLSHRKMIALLSHR
ICCI,ICC Industries Limited,TEXTILE WEAVING,NC,"30,001,120","4,500,168",ALLSHR
ICIBL,Invest Capital Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"284,866,896","156,676,793",ALLSHR
ICL,Ittehad Chemicals Limted,CHEMICAL,NC,"99,999,999","30,000,000",ALLSHRKMIALLSHR
IDRT,Idrees Textile Mills Limited,TEXTILE SPINNING,NC,"19,852,800","1,985,280",ALLSHR
IDSM,Ideal Spinning Mills Limited,TEXTILE SPINNING,NC,"9,920,000","1,488,000",ALLSHRKMIALLSHR
IDYM,Indus Dyeing & Manufacturing Co. Limited,TEXTILE SPINNING,NC,"54,221,193","8,133,179",ALLSHR
IGIHL,IGI Holdings Limited,INSURANCE,NC,"142,630,550","28,526,110",ALLSHR
IGIL,IGI Life Insurance Limited,INSURANCE,NC,"170,567,200","34,113,440",ALLSHR
ILP,Interloop Limited,TEXTILE COMPOSITE,NC,"1,401,709,468","280,341,894",ACIALLSHRKMI30KMIALLSHRKSE100MII30
IMAGE,Image Pakistan Limited,SYNTHETIC & RAYON,NC,"230,369,650","149,740,273",ALLSHRKMIALLSHR
IML,Imperial Limited,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"99,020,000","24,755,000",ALLSHR
INDU,Indus Motor Company Limited,AUTOMOBILE ASSEMBLER,NC,"78,600,000","13,943,853",ALLSHRKSE100
INIL,International Industries Limited,ENGINEERING,NC,"131,881,860","59,346,846",ACIALLSHRKMIALLSHRKSE100MII30
INKL,International Knitwear Limited,TEXTILE COMPOSITE,NC,"9,675,000","3,870,000",ALLSHRKMIALLSHR
IPAK,International Packaging Films Limited,"PAPER, BOARD & PACKAGING",NC,"700,200,000","140,040,000",ALLSHRKMIALLSHR
ISIL,Ismail Industries Limited,FOOD & PERSONAL CARE PRODUCTS,NC,"66,356,940","3,317,847",ALLSHR
ISL,International Steels Limited,ENGINEERING,NC,"435,000,000","152,250,000",ACIALLSHRKMIALLSHRKSE100MII30PSXDIV20
ITTEFAQ,Ittefaq Iron Industries Limited,ENGINEERING,NC,"144,343,364","93,823,187",ALLSHRKMIALLSHR
JATM,J.A. Textile Mills Limited,TEXTILE SPINNING,NC,"12,601,200","1,890,174",ALLSHRKMIALLSHR
JDMT,Janana De Malucho Textile Mills Limited,TEXTILE SPINNING,NC,"6,915,822","2,074,747",ALLSHRKMIALLSHR
JDWS,JDW Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,NC,"57,776,661","8,666,499",ALLSHRKMIALLSHRKSE100
JGICL,Jubilee General Insurance Limited,INSURANCE,NC,"198,491,379","49,622,810",ALLSHR
